epoch,decoder_acc,decoder_loss,encoder_acc,encoder_loss,loss,val_decoder_acc,val_decoder_loss,val_encoder_acc,val_encoder_loss,val_loss
0,0.8042733636856079,3.308532703667879e-05,0.9860666666984558,0.02016897673904896,0.02020206201970577,0.8028408189773559,3.2731053500901906e-05,0.9879,0.01671314745992422,0.01674587853997946
1,0.8050892854054769,3.202178157904806e-05,0.9904666666666667,0.013357088450094064,0.013389110221465429,0.8039774271965027,3.1260666745947674e-05,0.9912,0.011781849277019502,0.011813109949603677
2,0.803568516254425,3.022320692446859e-05,0.9929166666666667,0.009800461379438638,0.009830684567491213,0.800739924621582,2.918565935397055e-05,0.9921,0.009578426732402294,0.009607612396695185
3,0.7995572721163432,2.860828891765171e-05,0.9945999999682108,0.007706185086568197,0.007734793383876483,0.7976276792526246,2.7983525619492866e-05,0.9933,0.0096480270545464,0.009676010611886159
4,0.7972643277486166,2.780281806772109e-05,0.9962,0.0058385893441736695,0.00586639214605093,0.7964048464775085,2.7408468729117886e-05,0.9928,0.008186820862209425,0.008214229308255017
5,0.7963331199328104,2.7407655627272714e-05,0.9971,0.0046921861537421745,0.004719593817057709,0.7952537010192872,2.708581462793518e-05,0.9924,0.008509833578392863,0.008536919411364943
6,0.7956395836830139,2.7183426129825725e-05,0.99805,0.0033952986920873325,0.00342248211838305,0.7949440030097962,2.6922985844430515e-05,0.9931,0.007722154523432255,0.007749077530764043
7,0.7951425385793051,2.7051311917603016e-05,0.99875,0.002625683216098696,0.0026527345299720765,0.7944961734771728,2.679999175888952e-05,0.9935,0.007342037701047957,0.007368837733194232
8,0.7947937287330628,2.696972770402984e-05,0.9990333333333333,0.0019356536985064546,0.0019626234192711613,0.7945484667778016,2.673754654824734e-05,0.9927,0.007040834097217885,0.007067571577639319
9,0.7946085473060608,2.6917345432836252e-05,0.99945,0.0014107489715019861,0.001437666314188391,0.7934008930206299,2.6677403348730876e-05,0.9942,0.006280165410018526,0.006306842798832804
10,0.794304994837443,2.6881409551909505e-05,0.9995833333333334,0.0010239909132399286,0.0010508723222961028,0.793897192955017,2.664522425911855e-05,0.9933,0.007198337746411562,0.00722498294848192
11,0.7941849707921346,2.685549295565579e-05,0.9996,0.0008325105119962246,0.0008593660052244862,0.7940496171951293,2.6632627929211593e-05,0.9938,0.0066949197428766635,0.006721552370104473
12,0.7940690251986185,2.683773074822966e-05,0.9997333333333334,0.0005514806347782724,0.0005783183652441949,0.7942631346702576,2.6614636232261546e-05,0.995,0.006109102187782991,0.006135716850438621
13,0.7940191101710001,2.6822207399527543e-05,0.9997833333333334,0.0004978030680523564,0.0005246252759825438,0.7941911993980407,2.660002583579626e-05,0.9938,0.00623002800305112,0.006256628022901714
